Gene_ID	BHI1	BHI2	BHI3	Serum1	Serum2	Serum3
AENJPLPP_00126	15919	14920	12554	4456	5505	4808
AENJPLPP_00127	9097	7660	7201	6455	7441	6561
AENJPLPP_00128	6541	6822	6183	2247	2620	2357
AENJPLPP_00129	2024	2138	2169	810	1071	959
AENJPLPP_00130	11099	9712	9052	5638	6700	5870
AENJPLPP_00131	30128	26392	23103	16238	17770	16191
AENJPLPP_00132	23113	22820	20508	13885	16107	14407
AENJPLPP_00133	11362	12510	11527	2438	2840	2583
AENJPLPP_00134	29225	30320	27764	7602	8509	7870
AENJPLPP_00135	6454	6136	5752	1663	2177	1904
AENJPLPP_00136	11458	9926	8522	2849	3105	3099
AENJPLPP_00137	46358	43275	40915	18912	21021	19714
AENJPLPP_00138	15387	17304	13582	9690	11717	10965
AENJPLPP_00139	421	433	348	1775	2064	1889
AENJPLPP_00140	1520	1490	1325	7483	8166	7628
AENJPLPP_00141	639	743	590	3451	3980	3604
AENJPLPP_00142	2117	1718	1550	565	658	695
AENJPLPP_00143	3401	3172	2938	671	817	874
AENJPLPP_00144	2131	1993	2026	10438	12370	10692
AENJPLPP_00145	1277	1159	1128	8862	9949	9031
AENJPLPP_00146	116	131	142	746	826	769
AENJPLPP_00147	176	253	198	723	829	745
AENJPLPP_00148	130	146	139	107	106	99
AENJPLPP_00149	457	548	459	529	683	609
AENJPLPP_00150	1058	1218	1036	1017	1096	1139
AENJPLPP_00151	350	349	299	3098	2926	3279
AENJPLPP_00152	295	221	216	107	139	179
AENJPLPP_00153	1942	1631	1413	1580	1930	1628
AENJPLPP_00154	14484	15771	14014	2653	3028	2920
AENJPLPP_00155	15005	15384	13953	2976	3048	2932
AENJPLPP_00156	73644	78423	68884	23491	26509	24219
AENJPLPP_00157	16173	13100	11665	3727	4163	3867
AENJPLPP_00158	23	19	21	2	8	3
AENJPLPP_00159	40790	38816	35073	17655	20825	18314
AENJPLPP_00160	58933	60349	57199	24140	26965	26286
AENJPLPP_00161	4939	4961	4397	7633	8498	7872
AENJPLPP_00162	8646	8078	7171	13603	15997	14536
AENJPLPP_00163	16895	16774	15665	5793	6994	6136
AENJPLPP_00164	16699	17962	15211	6724	7611	6658
AENJPLPP_00165	5727	5825	5108	6927	7411	7003
AENJPLPP_00166	9536	10031	8828	10593	11852	10851
AENJPLPP_00167	4307	4566	4385	4597	5649	5102
AENJPLPP_00168	55	48	58	80	78	105
AENJPLPP_00169	76	85	84	104	145	124
AENJPLPP_00170	279	250	267	717	874	707
AENJPLPP_00171	0	1	4	6	10	9
AENJPLPP_00172	241	218	192	278	296	288
AENJPLPP_00173	56	39	50	366	360	444
AENJPLPP_00174	61	53	45	441	538	457
AENJPLPP_00175	39	42	27	189	202	215
AENJPLPP_00176	2889	2950	2412	4470	4887	4639
AENJPLPP_00177	14802	12709	12001	9443	10562	9677
AENJPLPP_00178	6980	5740	5348	9999	12306	11186
AENJPLPP_00179	18385	16356	14648	26307	27972	25841
AENJPLPP_00180	21327	18485	16194	25753	30066	27818
AENJPLPP_00181	37408	37402	34610	12899	15108	15636
AENJPLPP_00182	1669	1478	1483	1660	1920	1660
AENJPLPP_00183	5882	5337	4817	9583	10854	9980
AENJPLPP_00184	2261	2187	1994	3469	4631	4089
AENJPLPP_00185	1845	1844	1731	702	756	709
AENJPLPP_00186	87544	90766	80836	16252	19248	17633
AENJPLPP_00187	50209	50072	43309	36631	42843	41899
AENJPLPP_00188	9815	9350	8457	4393	5054	4559
AENJPLPP_00189	1432	1303	1195	8816	9636	9145
AENJPLPP_00190	80	88	77	2609	2803	2559
AENJPLPP_00191	36	43	42	540	441	525
AENJPLPP_00192	23406	24663	19688	417	505	472
AENJPLPP_00193	34418	43818	32746	381	549	559
AENJPLPP_00194	33137	34309	32021	583	717	645
AENJPLPP_00195	3415	3422	3046	2032	2508	2147
AENJPLPP_00196	11475	11403	10209	6844	7714	7251
AENJPLPP_00197	12314	10676	9533	6540	7330	6765
AENJPLPP_00198	6852	5473	4884	2617	3537	3047
AENJPLPP_00199	11643	10216	9540	5764	7425	6634
AENJPLPP_00200	19635	16661	15623	14676	16736	15091
AENJPLPP_00201	35823	31372	26709	24751	28374	27308
AENJPLPP_00202	11371	11194	9747	1837	2036	1900
AENJPLPP_00203	232	233	303	52	57	70
AENJPLPP_00204	2903	2603	2665	921	1105	1020
AENJPLPP_00205	585	474	390	994	1172	1183
AENJPLPP_00206	319	385	280	196	200	199
AENJPLPP_00207	174	137	123	175	177	155
AENJPLPP_00208	160	157	161	225	250	226
AENJPLPP_00209	4184	4095	3615	1037	1213	1085
AENJPLPP_00210	4833	4356	3970	1511	1918	1724
AENJPLPP_00211	7249	7012	5903	2483	2788	2417
AENJPLPP_00212	6355	6435	5768	2240	2702	2492
AENJPLPP_00213	8300	7495	6988	2482	3042	2552
AENJPLPP_00214	1577	1773	1627	492	590	500
AENJPLPP_00215	7105	7008	5795	1785	2209	1877
AENJPLPP_00216	119	120	117	145	137	143
AENJPLPP_00217	41	34	33	71	66	68
AENJPLPP_00218	52	85	86	149	165	192
AENJPLPP_00219	199	221	192	91	83	85
AENJPLPP_00220	90	79	94	61	55	83
AENJPLPP_00221	43	39	60	27	56	46
AENJPLPP_00222	85	104	83	139	136	151
AENJPLPP_00223	173	166	154	155	168	151
AENJPLPP_00224	58	45	49	55	65	59
AENJPLPP_00225	1652	1697	1556	1083	1442	1288
AENJPLPP_00226	1155	1093	1025	719	799	764
AENJPLPP_00227	2427	2731	2256	1448	1605	1436
AENJPLPP_00228	2194	2272	1920	1060	1098	994
AENJPLPP_00229	2931	3032	2681	1086	1220	1260
AENJPLPP_00230	65852	64950	58945	14702	16792	15184
AENJPLPP_00231	1472	1375	1372	139	180	127
AENJPLPP_00232	5	2	1	0	0	0
AENJPLPP_00233	2701	2519	2180	2969	3571	2781
AENJPLPP_00234	2184	1900	1654	4116	4538	4161
AENJPLPP_00235	7646	7809	6744	5377	5904	5706
AENJPLPP_00236	3813	4322	3428	2645	3077	2741
AENJPLPP_00237	3532	3243	2841	2082	2516	2147
AENJPLPP_00238	26670	27878	25754	10150	12042	10592
AENJPLPP_00239	4019	4599	4100	5049	6367	5473
AENJPLPP_00240	13085	14016	11718	20249	24924	22630
AENJPLPP_00241	10717	11057	9694	9381	11305	9754
AENJPLPP_00242	3958	3783	3417	5706	5914	5406
AENJPLPP_00243	1315	1119	1034	1873	1918	1714
AENJPLPP_00244	4253	4279	4080	21274	23250	19482
AENJPLPP_00245	2009	1973	1840	4187	4898	4276
AENJPLPP_00246	7116	8186	7399	12167	14553	13030
AENJPLPP_00247	1320	1368	1123	1675	2097	1955
AENJPLPP_00248	7462	7282	6492	13293	15003	14133
AENJPLPP_00249	5296	5821	4659	11124	12640	11817
AENJPLPP_00250	0	0	1	0	2	0
AENJPLPP_00251	868	904	834	790	808	666
AENJPLPP_00252	113	122	105	100	126	95
AENJPLPP_00253	665	664	600	551	647	574
AENJPLPP_00254	1760	1914	1667	2147	2404	2343
AENJPLPP_00255	4678	4807	3961	1132	1302	1423
AENJPLPP_00256	1095	1042	948	374	442	379
AENJPLPP_00257	2068	2327	1993	689	895	807
AENJPLPP_00258	6827	6699	6221	3964	4236	4202
AENJPLPP_00259	1244	1374	1249	1456	1903	1747
AENJPLPP_00260	2034	1883	1673	3150	3092	3030
AENJPLPP_00261	2935	2927	2811	4279	5034	4213
AENJPLPP_00262	15039	15201	13390	8399	9738	8730
AENJPLPP_00263	152	138	167	30	40	34
AENJPLPP_00264	4	4	6	8	15	11
AENJPLPP_00265	5	3	2	3	5	2
AENJPLPP_00266	943	1151	913	3455	3899	3687
AENJPLPP_00267	338	423	349	526	593	511
AENJPLPP_00268	858	726	709	16333	18759	17351
AENJPLPP_00269	54	28	37	17	12	21
AENJPLPP_00270	70	40	48	50	40	42
AENJPLPP_00271	10	7	10	5	19	10
AENJPLPP_00272	5	12	14	7	8	3
AENJPLPP_00273	39	34	34	42	52	42
AENJPLPP_00274	0	3	0	0	2	126
AENJPLPP_00275	40	40	38	35	36	38
AENJPLPP_00276	11	33	17	38	33	26
AENJPLPP_00277	2755	3172	2931	394	532	491
AENJPLPP_00278	1375	954	722	4690	5144	4949
AENJPLPP_00279	112	98	84	293	362	314
AENJPLPP_00280	121	131	122	301	347	325
AENJPLPP_00281	604	710	630	1290	1520	1425
AENJPLPP_00282	15	14	11	20	12	16
AENJPLPP_00283	436	532	466	66	76	65
AENJPLPP_00284	66	72	84	32	38	35
AENJPLPP_00285	87	75	58	75	86	90
AENJPLPP_00286	567	475	462	754	721	788
AENJPLPP_00287	670	676	650	289	348	335
AENJPLPP_00288	24	8	8	34	40	33
AENJPLPP_00289	2	4	2	21	29	30
AENJPLPP_00290	0	1	0	6	10	3
AENJPLPP_00291	4	1	4	4	2	1
AENJPLPP_00292	0	0	0	2	6	0
AENJPLPP_00293	4	8	4	4	4	4
AENJPLPP_00294	4	6	9	4	4	2
AENJPLPP_00295	2	8	3	3	3	2
AENJPLPP_00296	8	0	3	2	0	0
AENJPLPP_00297	12	4	6	4	11	4
AENJPLPP_00298	38	30	27	22	26	22
AENJPLPP_00299	33	25	31	13	17	18
AENJPLPP_00300	457	529	602	526	696	586
AENJPLPP_00301	25235	30347	28798	14008	19847	17117
